10	0.002
10	0.002
10	0.002
10	0.002
10	0.002
15	0.002
15	0.002
15	0.002
15	0.002
15	0.003
20	0.001
20	0.002
20	0.002
20	0.002
20	0.003
25	0.002
25	0.002
25	0.002
25	0.002
25	0.002
30	0.002
30	0.002
30	0.002
30	0.002
30	0.002
40	0.002
40	0.002
40	0.002
40	0.002
40	0.003
50	0.002
50	0.002
50	0.002
50	0.002
50	0.003
60	0.002
60	0.002
60	0.002
60	0.002
60	0.002
70	0.002
70	0.002
70	0.002
70	0.002
70	0.002
80	0.002
80	0.002
80	0.002
80	0.002
80	0.002
90	0.002
90	0.002
90	0.002
90	0.002
90	0.002
100	0.002
100	0.002
100	0.002
100	0.002
100	0.003
200	0.002
200	0.002
200	0.002
200	0.002
200	0.002
300	0.002
300	0.002
300	0.002
300	0.003
300	0.003
400	0.002
400	0.002
400	0.003
400	0.003
400	0.004
500	0.002
500	0.002
500	0.002
500	0.002
500	0.004
600	0.002
600	0.003
600	0.003
600	0.003
600	0.003
700	0.003
700	0.003
700	0.003
700	0.003
700	0.003
800	0.003
800	0.003
800	0.003
800	0.003
800	0.003
900	0.003
900	0.003
900	0.003
900	0.003
900	0.003
1000	0.003
1000	0.003
1000	0.003
1000	0.003
1000	0.004
2000	0.006
2000	0.007
2000	0.007
2000	0.007
2000	0.007
3000	0.011
3000	0.011
3000	0.011
3000	0.011
3000	0.012
4000	0.017
4000	0.017
4000	0.017
4000	0.018
4000	0.018
5000	0.025
5000	0.025
5000	0.026
5000	0.026
5000	0.026
6000	0.033
6000	0.033
6000	0.034
6000	0.034
6000	0.034
7000	0.044
7000	0.044
7000	0.045
7000	0.045
7000	0.047
8000	0.054
8000	0.055
8000	0.055
8000	0.057
8000	0.058
9000	0.067
9000	0.067
9000	0.068
9000	0.068
9000	0.070
10000	0.078
10000	0.078
10000	0.080
10000	0.080
10000	0.083
