5	0.001
5	0.002
5	0.002
5	0.002
5	0.002
10	0.002
10	0.002
10	0.002
10	0.002
10	0.004
15	0.002
15	0.002
15	0.002
15	0.002
15	0.003
20	0.002
20	0.002
20	0.002
20	0.002
20	0.002
25	0.002
25	0.002
25	0.002
25	0.004
25	0.004
30	0.001
30	0.002
30	0.002
30	0.002
30	0.002
40	0.002
40	0.002
40	0.002
40	0.002
40	0.003
50	0.002
50	0.002
50	0.002
50	0.002
50	0.002
60	0.002
60	0.002
60	0.002
60	0.002
60	0.002
70	0.002
70	0.002
70	0.002
70	0.003
70	0.003
80	0.002
80	0.002
80	0.002
80	0.002
80	0.002
90	0.002
90	0.002
90	0.002
90	0.002
90	0.003
100	0.002
100	0.002
100	0.002
100	0.002
100	0.003
200	0.002
200	0.002
200	0.002
200	0.002
200	0.003
300	0.003
300	0.003
300	0.003
300	0.004
300	0.004
400	0.005
400	0.005
400	0.005
400	0.005
400	0.005
500	0.006
500	0.006
500	0.007
500	0.007
500	0.007
500	0.007
600	0.008
600	0.008
600	0.008
600	0.008
600	0.008
700	0.011
700	0.011
700	0.011
700	0.011
700	0.011
800	0.013
800	0.013
800	0.014
800	0.014
800	0.014
900	0.017
900	0.017
900	0.018
900	0.018
900	0.018
1000	0.022
1000	0.022
1000	0.023
1000	0.023
1000	0.024
2000	0.079
2000	0.080
2000	0.080
2000	0.080
2000	0.081
3000	0.181
3000	0.182
3000	0.183
3000	0.183
3000	0.183
4000	0.322
4000	0.324
4000	0.324
4000	0.326
4000	0.327
5000	0.502
5000	0.504
5000	0.505
5000	0.508
5000	0.512
